file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1216516,2,72,6,26.166666666666668,1,0
1216517,1,58,7,25.142857142857142,2,0
1216517,2,42,6,29.333333333333332,0,0
1216518,1,56,7,22.0,1,0
1216518,2,140,3,52.0,1,1
1216519,1,89,5,39.2,2,0
1216519,2,32,10,13.7,0,0
1216520,1,81,10,14.9,1,0
1216520,2,100,3,50.0,1,1
1216521,1,43,9,12.666666666666666,0,0
1216521,2,116,1,116.0,1,1
1216522,1,58,6,29.5,2,0
1216522,2,79,4,44.75,2,0
1216523,1,82,6,27.333333333333332,1,0
1216523,2,115,6,27.0,1,1
1216524,1,107,3,73.0,2,1
1216524,2,40,10,13.1,0,0
1216525,1,76,5,33.8,2,0
1216525,2,64,9,14.666666666666666,1,0
1216526,1,87,6,24.666666666666668,1,0
1216526,2,94,3,49.666666666666664,1,0
1216527,1,183,3,74.33333333333333,1,1
1216527,2,81,7,32.285714285714285,2,0
1216528,1,81,7,23.857142857142858,1,0
1216528,2,40,9,16.333333333333332,0,0
1216529,1,85,5,32.4,1,0
1216529,2,53,6,27.666666666666668,1,0
1216530,1,72,8,23.875,1,0
1216530,2,43,10,13.1,0,0
1216531,1,41,7,24.428571428571427,0,0
1216531,2,93,3,59.0,2,0
1216532,1,77,5,32.4,2,0
1216532,2,42,8,18.375,0,0
1216533,1,51,6,20.833333333333332,1,0
1216533,2,98,4,31.5,1,0
1216534,1,90,5,32.6,1,0
1216534,2,71,10,15.3,1,0
1216535,1,35,9,12.222222222222221,0,0
1216535,2,68,2,55.5,1,0
1216536,1,53,6,28.666666666666668,1,0
1216536,2,68,5,35.6,2,0
1216537,1,120,5,37.0,1,1
1216537,2,60,4,46.5,2,0
1216538,1,78,6,34.666666666666664,1,0
1216538,2,60,8,21.75,1,0
1216539,1,94,4,43.75,2,0
1216539,2,54,7,18.714285714285715,1,0
1216540,1,100,3,64.66666666666667,2,1
1216540,2,28,10,11.2,0,0
1216541,1,83,6,32.5,2,0
1216541,2,152,3,65.33333333333333,1,1
1216542,1,160,7,28.714285714285715,1,1
1216542,2,47,10,13.2,0,0
1216543,1,85,7,23.0,1,0
