team,phase,wicket_bucket,role,matches,wins,win_rate
Delhi Capitals,middle,1,bat_first,11,6,0.5454545454545454
Delhi Capitals,middle,2,bat_first,17,8,0.47058823529411764
Delhi Capitals,middle,3,bat_first,18,7,0.3888888888888889
Delhi Capitals,middle,0,bat_second,3,3,1.0
Delhi Capitals,middle,1,bat_second,12,10,0.8333333333333334
Delhi Capitals,middle,2,bat_second,16,8,0.5
Delhi Capitals,middle,3,bat_second,27,8,0.2962962962962963
Delhi Capitals,pp,0,bat_first,10,7,0.7
Delhi Capitals,pp,1,bat_first,11,4,0.36363636363636365
Delhi Capitals,pp,2,bat_first,17,8,0.47058823529411764
Delhi Capitals,pp,3,bat_first,9,3,0.3333333333333333
Delhi Capitals,pp,0,bat_second,9,7,0.7777777777777778
Delhi Capitals,pp,1,bat_second,19,12,0.631578947368421
Delhi Capitals,pp,2,bat_second,16,5,0.3125
Delhi Capitals,pp,3,bat_second,14,5,0.35714285714285715
Delhi Daredevils,death,0,bat_first,8,2,0.25
Delhi Daredevils,death,1,bat_first,16,8,0.5
Delhi Daredevils,death,2,bat_first,18,7,0.3888888888888889
Delhi Daredevils,death,3,bat_first,30,8,0.26666666666666666
Delhi Daredevils,death,0,bat_second,27,23,0.8518518518518519
Delhi Daredevils,death,1,bat_second,21,11,0.5238095238095238
Delhi Daredevils,death,2,bat_second,14,7,0.5
Delhi Daredevils,death,3,bat_second,27,1,0.037037037037037035
Delhi Daredevils,middle,0,bat_first,6,5,0.8333333333333334
Delhi Daredevils,middle,1,bat_first,18,7,0.3888888888888889
Delhi Daredevils,middle,2,bat_first,21,6,0.2857142857142857
Delhi Daredevils,middle,3,bat_first,27,7,0.25925925925925924
Delhi Daredevils,middle,0,bat_second,9,8,0.8888888888888888
Delhi Daredevils,middle,1,bat_second,18,12,0.6666666666666666
Delhi Daredevils,middle,2,bat_second,28,14,0.5
Delhi Daredevils,middle,3,bat_second,34,8,0.23529411764705882
Delhi Daredevils,pp,0,bat_first,7,4,0.5714285714285714
Delhi Daredevils,pp,1,bat_first,22,10,0.45454545454545453
Delhi Daredevils,pp,2,bat_first,29,8,0.27586206896551724
Delhi Daredevils,pp,3,bat_first,14,3,0.21428571428571427
Delhi Daredevils,pp,0,bat_second,17,13,0.7647058823529411
Delhi Daredevils,pp,1,bat_second,26,14,0.5384615384615384
Delhi Daredevils,pp,2,bat_second,27,11,0.4074074074074074
Delhi Daredevils,pp,3,bat_second,19,4,0.21052631578947367
Gujarat Lions,death,1,bat_first,3,0,0.0
Gujarat Lions,death,2,bat_first,3,1,0.3333333333333333
Gujarat Lions,death,3,bat_first,8,0,0.0
Gujarat Lions,death,0,bat_second,4,4,1.0
Gujarat Lions,death,1,bat_second,4,3,0.75
Gujarat Lions,death,2,bat_second,6,3,0.5
Gujarat Lions,death,3,bat_second,2,2,
Gujarat Lions,middle,1,bat_first,3,0,0.0
Gujarat Lions,middle,2,bat_first,5,0,0.0
Gujarat Lions,middle,3,bat_first,6,1,0.16666666666666666
Gujarat Lions,middle,1,bat_second,3,3,1.0
Gujarat Lions,middle,2,bat_second,5,5,1.0
Gujarat Lions,middle,3,bat_second,8,4,0.5
Gujarat Lions,pp,0,bat_first,2,1,
Gujarat Lions,pp,1,bat_first,4,0,0.0
Gujarat Lions,pp,2,bat_first,4,0,0.0
