file_id,innings,batting_team,phase,wicket_bucket,role,prior_matches,prior_wins,prior_win_rate
336035,1,Kings XI Punjab,pp,1,bat_first,4,3,0.75
336035,1,Kings XI Punjab,middle,2,bat_first,0,0,
336035,1,Kings XI Punjab,death,3,bat_first,2,1,
336035,2,Kolkata Knight Riders,pp,2,bat_second,0,0,
336035,2,Kolkata Knight Riders,middle,3,bat_second,0,0,
336035,2,Kolkata Knight Riders,death,2,bat_second,0,0,
336036,2,Rajasthan Royals,pp,2,bat_second,2,2,
336036,2,Rajasthan Royals,middle,3,bat_second,0,0,
336036,2,Rajasthan Royals,death,0,bat_second,3,3,1.0
336036,1,Mumbai Indians,pp,0,bat_first,1,0,
336036,1,Mumbai Indians,middle,2,bat_first,1,0,
336036,1,Mumbai Indians,death,3,bat_first,4,2,0.5
336037,2,Chennai Super Kings,pp,1,bat_second,1,0,
336037,2,Chennai Super Kings,middle,1,bat_second,1,1,
336037,2,Chennai Super Kings,death,1,bat_second,0,0,
336037,1,Deccan Chargers,pp,2,bat_first,3,0,0.0
336037,1,Deccan Chargers,middle,1,bat_first,1,0,
336037,1,Deccan Chargers,death,3,bat_first,4,0,0.0
336019,2,Rajasthan Royals,pp,2,bat_second,3,3,1.0
336019,2,Rajasthan Royals,middle,3,bat_second,1,1,
336019,2,Rajasthan Royals,death,2,bat_second,0,0,
336019,1,Kings XI Punjab,pp,0,bat_first,0,0,
336019,1,Kings XI Punjab,middle,1,bat_first,1,1,
336019,1,Kings XI Punjab,death,2,bat_first,1,1,
336012,2,Mumbai Indians,pp,0,bat_second,2,2,
336012,2,Mumbai Indians,middle,1,bat_second,1,1,
336012,2,Mumbai Indians,death,0,bat_second,4,4,1.0
336012,1,Royal Challengers Bangalore,pp,2,bat_first,2,1,
336012,1,Royal Challengers Bangalore,middle,3,bat_first,3,2,0.6666666666666666
336012,1,Royal Challengers Bangalore,death,2,bat_first,0,0,
336038,1,Rajasthan Royals,pp,0,bat_first,2,2,
336038,1,Rajasthan Royals,middle,3,bat_first,3,1,0.3333333333333333
336038,1,Rajasthan Royals,death,3,bat_first,3,2,0.6666666666666666
336038,2,Delhi Daredevils,pp,3,bat_second,1,0,
336038,2,Delhi Daredevils,middle,3,bat_second,3,2,0.6666666666666666
336038,2,Delhi Daredevils,death,2,bat_second,0,0,
336039,1,Kings XI Punjab,pp,3,bat_first,0,0,
336039,1,Kings XI Punjab,middle,3,bat_first,3,2,0.6666666666666666
336039,1,Kings XI Punjab,death,1,bat_first,1,1,
336039,2,Chennai Super Kings,pp,1,bat_second,2,1,
336039,2,Chennai Super Kings,middle,0,bat_second,1,1,
336039,2,Chennai Super Kings,death,0,bat_second,2,2,
336040,2,Rajasthan Royals,pp,1,bat_second,1,1,
336040,2,Rajasthan Royals,middle,3,bat_second,2,1,
336040,2,Rajasthan Royals,death,3,bat_second,2,2,
336040,1,Chennai Super Kings,pp,1,bat_first,3,2,0.6666666666666666
336040,1,Chennai Super Kings,middle,2,bat_first,3,1,0.3333333333333333
336040,1,Chennai Super Kings,death,2,bat_first,3,2,0.6666666666666666
392181,1,Mumbai Indians,pp,1,bat_first,1,1,
392181,1,Mumbai Indians,middle,3,bat_first,3,2,0.6666666666666666
392181,1,Mumbai Indians,death,3,bat_first,5,2,0.4
392181,2,Chennai Super Kings,pp,2,bat_second,0,0,
392181,2,Chennai Super Kings,middle,3,bat_second,2,1,
392181,2,Chennai Super Kings,death,2,bat_second,1,1,
392182,1,Royal Challengers Bangalore,pp,3,bat_first,2,0,
392182,1,Royal Challengers Bangalore,middle,2,bat_first,2,0,
392182,1,Royal Challengers Bangalore,death,3,bat_first,5,2,0.4
392182,2,Rajasthan Royals,pp,2,bat_second,4,3,0.75
392182,2,Rajasthan Royals,middle,3,bat_second,3,2,0.6666666666666666
392182,2,Rajasthan Royals,death,1,bat_second,2,2,
392183,1,Kings XI Punjab,pp,1,bat_first,5,3,0.6
392183,1,Kings XI Punjab,middle,3,bat_first,4,2,0.5
392183,1,Kings XI Punjab,death,0,bat_first,0,0,
392183,2,Delhi Daredevils,pp,0,bat_second,2,2,
392183,2,Delhi Daredevils,middle,0,bat_second,2,2,
392183,2,Delhi Daredevils,death,0,bat_second,4,4,1.0
392184,1,Kolkata Knight Riders,pp,3,bat_first,3,0,0.0
392184,1,Kolkata Knight Riders,middle,2,bat_first,1,1,
392184,1,Kolkata Knight Riders,death,3,bat_first,4,1,0.25
392184,2,Deccan Chargers,pp,2,bat_second,1,0,
392184,2,Deccan Chargers,middle,0,bat_second,2,1,
392184,2,Deccan Chargers,death,0,bat_second,1,1,
392185,1,Chennai Super Kings,pp,0,bat_first,0,0,
392185,1,Chennai Super Kings,middle,2,bat_first,4,1,0.25
392185,1,Chennai Super Kings,death,3,bat_first,2,0,
392185,2,Royal Challengers Bangalore,pp,2,bat_second,1,0,
392185,2,Royal Challengers Bangalore,middle,3,bat_second,3,1,0.3333333333333333
392185,2,Royal Challengers Bangalore,death,1,bat_second,2,1,
392186,1,Kings XI Punjab,pp,1,bat_first,6,3,0.5
392186,1,Kings XI Punjab,middle,3,bat_first,5,2,0.4
392186,1,Kings XI Punjab,death,2,bat_first,2,2,
392186,2,Kolkata Knight Riders,pp,1,bat_second,0,0,
392186,2,Kolkata Knight Riders,middle,0,bat_second,0,0,
392186,2,Kolkata Knight Riders,death,0,bat_second,0,0,
392188,1,Deccan Chargers,pp,1,bat_first,1,0,
392188,1,Deccan Chargers,middle,2,bat_first,1,0,
392188,1,Deccan Chargers,death,3,bat_first,5,0,0.0
392188,2,Royal Challengers Bangalore,pp,2,bat_second,2,0,
392188,2,Royal Challengers Bangalore,middle,2,bat_second,3,1,0.3333333333333333
392188,2,Royal Challengers Bangalore,death,3,bat_second,1,0,
392189,1,Delhi Daredevils,pp,2,bat_first,1,0,
392189,1,Delhi Daredevils,middle,2,bat_first,1,0,
392189,1,Delhi Daredevils,death,1,bat_first,0,0,
392189,2,Chennai Super Kings,pp,1,bat_second,3,2,0.6666666666666666
392189,2,Chennai Super Kings,middle,3,bat_second,3,1,0.3333333333333333
392189,2,Chennai Super Kings,death,3,bat_second,2,0,
392190,1,Rajasthan Royals,pp,2,bat_first,2,0,
392190,1,Rajasthan Royals,middle,2,bat_first,1,1,
392190,1,Rajasthan Royals,death,2,bat_first,0,0,
392190,2,Kolkata Knight Riders,pp,1,bat_second,1,1,
392190,2,Kolkata Knight Riders,middle,3,bat_second,1,1,
392190,2,Kolkata Knight Riders,death,3,bat_second,1,0,
392191,1,Royal Challengers Bangalore,pp,3,bat_first,3,1,0.3333333333333333
392191,1,Royal Challengers Bangalore,middle,1,bat_first,1,0,
392191,1,Royal Challengers Bangalore,death,3,bat_first,6,3,0.5
392191,2,Kings XI Punjab,pp,0,bat_second,2,2,
392191,2,Kings XI Punjab,middle,2,bat_second,4,3,0.75
392191,2,Kings XI Punjab,death,1,bat_second,1,0,
392192,1,Deccan Chargers,pp,0,bat_first,3,0,0.0
392192,1,Deccan Chargers,middle,3,bat_first,5,0,0.0
392192,1,Deccan Chargers,death,3,bat_first,6,1,0.16666666666666666
392192,2,Mumbai Indians,pp,1,bat_second,1,0,
392192,2,Mumbai Indians,middle,3,bat_second,3,1,0.3333333333333333
392192,2,Mumbai Indians,death,3,bat_second,1,0,
392194,1,Royal Challengers Bangalore,pp,2,bat_first,3,1,0.3333333333333333
392194,1,Royal Challengers Bangalore,middle,2,bat_first,3,1,0.3333333333333333
392194,1,Royal Challengers Bangalore,death,3,bat_first,7,3,0.42857142857142855
392195,1,Kings XI Punjab,pp,2,bat_first,0,0,
392195,1,Kings XI Punjab,middle,2,bat_first,1,0,
392195,1,Kings XI Punjab,death,2,bat_first,3,2,0.6666666666666666
392195,2,Rajasthan Royals,pp,3,bat_second,2,2,
392195,2,Rajasthan Royals,middle,2,bat_second,3,3,1.0
392195,2,Rajasthan Royals,death,1,bat_second,3,2,0.6666666666666666
392194,2,Delhi Daredevils,pp,2,bat_second,2,1,
392194,2,Delhi Daredevils,middle,1,bat_second,0,0,
392194,2,Delhi Daredevils,death,1,bat_second,1,1,
392196,1,Chennai Super Kings,pp,1,bat_first,4,2,0.5
392196,1,Chennai Super Kings,middle,3,bat_first,3,1,0.3333333333333333
392196,1,Chennai Super Kings,death,2,bat_first,4,2,0.5
392196,2,Deccan Chargers,pp,1,bat_second,2,1,
392196,2,Deccan Chargers,middle,2,bat_second,0,0,
392196,2,Deccan Chargers,death,1,bat_second,2,1,
392197,1,Mumbai Indians,pp,0,bat_first,2,0,
392197,1,Mumbai Indians,middle,3,bat_first,4,3,0.75
392197,1,Mumbai Indians,death,3,bat_first,6,3,0.5
392197,2,Kolkata Knight Riders,pp,2,bat_second,1,1,
392197,2,Kolkata Knight Riders,middle,3,bat_second,2,1,
392197,2,Kolkata Knight Riders,death,2,bat_second,1,1,
392198,2,Rajasthan Royals,pp,2,bat_second,5,3,0.6
392198,2,Rajasthan Royals,middle,3,bat_second,4,2,0.5
392198,2,Rajasthan Royals,death,0,bat_second,4,4,1.0
392198,1,Delhi Daredevils,pp,3,bat_first,1,0,
392198,1,Delhi Daredevils,middle,1,bat_first,1,1,
392198,1,Delhi Daredevils,death,3,bat_first,4,2,0.5
392199,1,Kolkata Knight Riders,pp,2,bat_first,2,1,
392199,1,Kolkata Knight Riders,middle,2,bat_first,2,1,
392199,1,Kolkata Knight Riders,death,2,bat_first,2,1,
