full_name,data_name,team_2026,role,home_venue,career_bat_innings,career_runs,career_balls_faced,career_bat_avg,career_bat_sr,career_fours,career_sixes,career_bowl_innings,career_balls_bowled,career_wickets,career_runs_conceded,career_econ,career_bowl_sr,form5_bat_innings,form5_runs,form5_bat_avg,form5_bat_sr,form5_boundary_pct,form5_bowl_innings,form5_wickets,form5_econ,form5_bowl_sr,form5_bowl_dot_pct,recent_bat_innings,recent_runs,recent_bat_avg,recent_bat_sr,recent_bowl_innings,recent_wickets,recent_econ,recent_bowl_sr,bat_score,bowl_score,overall_score
Virat Singh,Virat Singh,Sunrisers Hyderabad,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",2,15,26,7.5,57.69,1,0,,,,,,,2,15,7.5,57.69,3.8,,,,,,,,,,,,,,5.0,0.0,4.0
Vivrant Sharma,Vivrant Sharma,Sunrisers Hyderabad,bowler,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,69,47,69.0,146.81,9,2,2,18,0,37,12.33,,1,69,69.0,146.81,23.4,2,0,12.33,,27.8,1,69,69.0,146.81,2,0,12.33,,5.0,0.0,1.0
W Jaffer,W Jaffer,Royal Challengers Bangalore,batter,,8,130,121,16.25,107.44,14,3,,,,,,,5,64,12.8,101.59,14.3,,,,,,,,,,,,,,53.0,0.0,42.4
W O'Rourke,W O'Rourke,Lucknow Super Giants,bowler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,3,62,6,132,12.77,10.3,,,,,,3,6,12.77,10.3,24.2,,,,,3,6,12.77,10.3,5.0,50.0,41.0
WA Mota,WA Mota,Kings XI Punjab,all-rounder,,8,56,75,7.0,74.67,2,0,7,72,4,98,8.17,18.0,5,29,5.8,63.04,0.0,5,3,6.89,18.0,38.9,,,,,,,,,31.0,45.5,38.2
WD Parnell,WD Parnell,Royal Challengers Bangalore,all-rounder,,13,65,80,5.0,81.25,4,1,33,723,40,968,8.03,18.1,5,14,2.8,66.67,0.0,5,5,9.79,20.6,37.9,1,2,2.0,40.0,7,9,9.42,16.8,24.1,40.5,32.3
WP Saha,WP Saha,Gujarat Titans,batter,"Narendra Modi Stadium, Ahmedabad",143,2934,2300,20.52,127.57,296,87,,,,,,,5,60,12.0,105.26,14.0,,,,,,26,507,19.5,126.12,,,,,62.0,0.0,49.6
WPUJC Vaas,WPUJC Vaas,Deccan Chargers,all-rounder,,11,81,73,7.36,110.96,2,3,13,282,22,364,7.74,12.8,5,30,6.0,88.24,5.9,5,9,6.32,12.7,46.5,,,,,,,,,41.6,80.8,61.2
X Thalaivan Sargunam,X Thalaivan Sargunam,Sunrisers Hyderabad,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,10,17,10.0,58.82,0,0,,,,,,,1,10,10.0,58.82,0.0,,,,,,,,,,,,,,5.0,0.0,4.0
XC Bartlett,XC Bartlett,Punjab Kings,bowler,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,11,15,11.0,73.33,1,0,4,60,2,96,9.6,30.0,1,11,11.0,73.33,6.7,4,2,9.6,30.0,46.7,1,11,11.0,73.33,4,2,9.6,30.0,5.0,17.5,15.0
